Time,Max,Min,Open,Close
2020/1/2,4172.656,4121.349,4121.349,4152.241
2020/1/3,4164.299,4131.864,4161.219,4144.965
2020/1/6,4170.638,4102.38,4120.521,4129.295
2020/1/7,4161.25,4135.097,4137.402,4160.227
2020/1/8,4149.813,4101.98,4139.632,4112.317
2020/1/9,4165.657,4143.592,4145.535,4164.37
2020/1/10,4180.977,4148.482,4177.578,4163.185
2020/1/13,4203.988,4148.601,4166.925,4203.988
2020/1/14,4223.508,4188.081,4215.158,4189.886
2020/1/15,4193.869,4150.88,4186.881,4166.734
2020/1/16,4175.294,4142.18,4174.817,4149.043
2020/1/17,4177.028,4141.645,4162.194,4154.853
2020/1/20,4185.963,4149.488,4170.737,4185.83
2020/1/21,4165.02,4113.325,4165.02,4114.309
2020/1/22,4141.177,4046.487,4093.801,4131.931
2020/1/23,4103.524,3972.393,4093.323,4003.901
2020/2/3,3732.157,3639.909,3639.909,3688.358
2020/2/4,3786.863,3652.004,3652.004,3785.638
2020/2/5,3866.011,3781.613,3801.099,3828.527
2020/2/6,3914.915,3806.96,3841.754,3899.775
2020/2/7,3899.884,3849.713,3879.553,3899.869
2020/2/10,3920.167,3861.007,3872.374,3916.005
2020/2/11,3970.522,3915.708,3926.42,3952.464
2020/2/12,3984.433,3940.667,3945.666,3984.433
2020/2/13,3999.55,3950.142,3985.876,3959.919
2020/2/14,4001.563,3954.023,3954.234,3987.734
2020/2/17,4077.446,3999.651,3999.651,4077.424
2020/2/18,4076.388,4027.786,4069.832,4057.511
2020/2/19,4085.17,4042.845,4049.586,4051.311
2020/2/20,4148.529,4055.811,4062.897,4144.656
2020/2/21,4184.438,4130.168,4134.875,4149.49
2020/2/24,4149.01,4097.175,4131.836,4132.839
2020/2/25,4126.708,4020.908,4066.302,4123.854
2020/2/26,4132.782,4061.125,4070.099,4073.015
2020/2/27,4110.528,4067.441,4084.078,4084.876
2020/2/28,4031.145,3928.066,3988.727,3940.049
2020/3/2,4092.539,3968.844,3968.844,4069.666
2020/3/3,4147.653,4067.909,4125.136,4091.362
2020/3/4,4115.262,4060.729,4078.5,4115.052
2020/3/5,4215.851,4127.039,4150.21,4206.725
2020/3/6,4181.31,4135.39,4158.202,4138.507
2020/3/9,4063.076,3995.131,4063.076,3997.133
2020/3/10,4093.002,3954.751,3975.229,4082.732
2020/3/11,4091.27,4028.396,4090.935,4028.429
2020/3/12,3987.434,3926.27,3976.114,3950.911
2020/3/13,3937.181,3765.148,3771.014,3895.313
2020/3/16,3899.86,3720.513,3899.86,3727.84
2020/3/17,3786.891,3618.307,3739.783,3709.682
2020/3/18,3775.851,3636.257,3729.685,3636.257
2020/3/19,3647.987,3503.187,3623.789,3589.093
2020/3/20,3663.952,3588.777,3629.513,3653.224
2020/3/23,3585.801,3523.788,3542.684,3530.306
2020/3/24,3627.759,3545.452,3598.655,3625.115
2020/3/25,3732.654,3685.994,3711.475,3722.518
2020/3/26,3736.254,3681.267,3692.608,3698.047
2020/3/27,3758.783,3709.921,3746.391,3710.061
2020/3/30,3690.639,3637.585,3657.462,3674.111
2020/3/31,3716.071,3676.202,3708.14,3686.155
2020/4/1,3731.78,3670.965,3682.297,3675.076
2020/4/2,3734.531,3652.317,3656.323,3734.531
2020/4/3,3738.832,3698.982,3721.482,3713.218
2020/4/7,3803.629,3772.205,3779.908,3798.021
2020/4/8,3793.002,3767.292,3776.417,3780.345
2020/4/9,3801.725,3785.312,3798.488,3792.811
2020/4/10,3824.744,3758.96,3794.843,3769.178
2020/4/13,3769.876,3740.194,3751.709,3753.257
2020/4/14,3825.76,3764.984,3777.834,3825.699
